process_name,page_fault_count,peak_working_set_size,working_set_size,quota_peak_paged_pool_usage,quota_paged_pool_usage,quota_peak_non_paged_pool_usage,quota_non_paged_pool_usage,page_file_usage,peak_page_file_usage
TextInputHost.exe,32314,99373056,98656256,943184,940424,41760,39208,58937344,61620224
Agent.exe,15512,43433984,27766784,215800,209800,100116,37688,30797824,46911488
conhost.exe,2434,9293824,9277440,201184,168200,11392,11288,1654784,1679360
Battle.net.exe,125568,125792256,90247168,986264,907816,76976,45408,88948736,110362624
Battle.net.exe,7458,24350720,24350720,597576,597304,25512,24344,8634368,8634368
Battle.net.exe,19606,42422272,37187584,747872,614872,98072,31256,12656640,13164544
SearchIndexer.exe,40431,55283712,47411200,213464,210840,32856,20624,29798400,48427008
DllHost.exe,2356,9256960,9183232,108848,108096,9688,9392,1732608,1798144
Battle.net.exe,89504,166281216,111022080,720280,654144,87936,52904,68628480,95379456
Battle.net.exe,97054,163049472,110800896,741808,673128,75152,48688,64380928,107294720
Battle.net.exe,26334,76304384,60715008,731856,648424,65656,37040,26853376,42586112
voicemeeterpro_x64.exe,38161,97890304,97652736,330280,297784,45552,26128,65757184,66068480
svchost.exe,29332,63950848,61915136,395128,234560,116324,67648,16932864,21184512
bootstrapper.exe,278167,9543680,9015296,161192,160992,17792,8712,2097152,2490368
bootstrappercrashhandler.exe,2773,10809344,10809344,166048,155584,43848,11664,2576384,2576384
svchost.exe,2961,10391552,10330112,86944,86464,51160,18440,2613248,2732032
mp24-cod.exe,13960472,10880094208,10842664960,2127032,2109752,11654536,11376008,11076866048,12212170752
codCrashHandler.exe,3336,11743232,11272192,165896,160592,43984,12072,2727936,3121152
svchost.exe,3808,14123008,13987840,102000,99912,14496,13408,2535424,2863104
svchost.exe,4932,18276352,15224832,166288,112928,29920,11432,2940928,5992448
svchost.exe,5615,17989632,16539648,145648,104568,19232,15488,3432448,5931008
svchost.exe,4222,16457728,16408576,163208,161848,14072,13600,3170304,3346432
svchost.exe,7855,27467776,27430912,167848,165816,35376,20904,5292032,5435392
MoUsoCoreWorker.exe,55136,36040704,32604160,188288,185680,27808,19448,6508544,10412032
svchost.exe,4460,17117184,16449536,134392,130704,15888,13400,2949120,3715072
SearchProtocolHost.exe,7144,19169280,18882560,144408,143912,16624,14016,2793472,3059712
cod.exe,510361,1217155072,623996928,1400776,244968,602896,588680,614711296,1212825600
